run,cid,ballot_encoding,ballot_download_bytes,frame1_jpeg_bytes,frame2_jpeg_bytes,frame3_jpeg_bytes,liveness_json_bytes,liveness_upload_bytes,liveness_time_s,cast_time_s
1,PATNA-01,gzip,196,9341,8915,9173,36648,36648,0.002938,0.00231
2,DELHI-07,gzip,197,9341,8915,9173,36648,36648,0.030961,0.001895
3,MUMBAI-03,gzip,197,9341,8915,9173,36648,36648,0.002351,0.001691
4,PATNA-01,gzip,196,9341,8915,9173,36648,36648,0.002436,0.001921
5,DELHI-07,gzip,197,9341,8915,9173,36648,36648,0.002787,0.002016
6,MUMBAI-03,gzip,196,9341,8915,9173,36648,36648,0.002566,0.001942
7,PATNA-01,gzip,196,9341,8915,9173,36648,36648,0.002425,0.001911
8,DELHI-07,gzip,196,9341,8915,9173,36648,36648,0.002379,0.001852
9,MUMBAI-03,gzip,197,9341,8915,9173,36648,36648,0.002511,0.001762
10,PATNA-01,gzip,196,9341,8915,9173,36647,36647,0.00253,0.001786
11,DELHI-07,gzip,197,9341,8915,9173,36648,36648,0.002441,0.001809
12,MUMBAI-03,gzip,196,9341,8915,9173,36648,36648,0.002508,0.001887
13,PATNA-01,gzip,194,9341,8915,9173,36647,36647,0.002544,0.00186
14,DELHI-07,gzip,197,9341,8915,9173,36648,36648,0.0023,0.001703
15,MUMBAI-03,gzip,197,9341,8915,9173,36648,36648,0.002284,0.001795
16,PATNA-01,gzip,196,9341,8915,9173,36648,36648,0.002363,0.001923
17,DELHI-07,gzip,198,9341,8915,9173,36648,36648,0.002768,0.001821
18,MUMBAI-03,gzip,197,9341,8915,9173,36648,36648,0.002309,0.001681
19,PATNA-01,gzip,196,9341,8915,9173,36648,36648,0.002633,0.001957
20,DELHI-07,gzip,198,9341,8915,9173,36648,36648,0.025761,0.001749
21,MUMBAI-03,gzip,197,9341,8915,9173,36648,36648,0.012391,0.001691
22,PATNA-01,gzip,196,9341,8915,9173,36648,36648,0.002703,0.001792
23,DELHI-07,gzip,196,9341,8915,9173,36648,36648,0.015644,0.00171
24,MUMBAI-03,gzip,197,9341,8915,9173,36648,36648,0.002564,0.001826
25,PATNA-01,gzip,197,9341,8915,9173,36648,36648,0.002412,0.001765
26,DELHI-07,gzip,196,9341,8915,9173,36648,36648,0.002291,0.001679
27,MUMBAI-03,gzip,197,9341,8915,9173,36648,36648,0.002534,0.001924
28,PATNA-01,gzip,196,9341,8915,9173,36648,36648,0.002228,0.001594
29,DELHI-07,gzip,197,9341,8915,9173,36648,36648,0.002213,0.001509
30,MUMBAI-03,gzip,197,9341,8915,9173,36648,36648,0.002274,0.001753
